"COMMON.NAME" "SCIENTIFIC.NAME" "OBSERVATION.COUNT" "LATITUDE" "LONGITUDE" "DATE" "MONTH" "DAY" "MIGRANT"
"Great Gray Shrike" "Lanius excubitor" "3" 25.172219 55.550809 "1989-04-24" "04" 114 "no"
"Bonelli's Eagle" "Aquila fasciata" "1" 25.205159 55.29646 "1999-11-15" "11" 319 "yes"
"Western Reef-Heron" "Egretta gularis" "1" 25.205159 55.29646 "1990-09-20" "09" 263 "no"
"Steppe Eagle" "Aquila nipalensis" "2" 25.205159 55.29646 "1989-03-02" "03" 61 "yes"
"Gray Heron" "Ardea cinerea" "7" 25.086263 55.163731 "1999-09-21" "09" 264 "no"
"Gray Heron" "Ardea cinerea" "1" 25.086263 55.163731 "1999-07-05" "07" 186 "no"
"Western Reef-Heron" "Egretta gularis" "1" 25.086263 55.163731 "1995-12-08" "12" 342 "no"
"Striated Heron" "Butorides striata" "1" 25.086263 55.163731 "1999-11-10" "11" 314 "no"
"Gray Heron" "Ardea cinerea" "1" 25.086263 55.163731 "1999-12-15" "12" 349 "no"
"European Roller" "Coracias garrulus" "1" 25.185622 55.2467036 "1990-10-12" "10" 285 "no"
"Gray Heron" "Ardea cinerea" "10" 25.1921346 55.3193807 "1990-07-27" "07" 208 "no"
"Great Gray Shrike" "Lanius excubitor" "6" 24.790492 55.182906 "1995-11-24" "11" 328 "no"
"Gray Heron" "Ardea cinerea" "5" 25.0658 55.1673 "1999-09-11" "09" 254 "no"
"Black-winged Kite" "Elanus caeruleus" "1" 24.985556 55.024179 "1997-02-24" "02" 55 "yes"
"Eurasian Kestrel" "Falco tinnunculus" "1" 25.218198 55.44909 "1998-10-08" "10" 281 "yes"
"Gray Heron" "Ardea cinerea" "10" 25.205159 55.29646 "1999-10-04" "10" 277 "no"
"Eurasian Marsh-Harrier" "Circus aeruginosus" "2" 25.205159 55.29646 "1999-11-01" "11" 305 "yes"
"White Stork" "Ciconia ciconia" "1" 25.169707 55.432797 "1999-04-10" "04" 100 "yes"
"Common Myna" "Acridotheres tristis" "8" 25.086263 55.163731 "1998-01-02" "01" 2 "no"
"Little Bittern" "Ixobrychus minutus" "1" 25.086263 55.163731 "1998-10-19" "10" 292 "no"
"Gray Heron" "Ardea cinerea" "4" 25.086263 55.163731 "1999-04-11" "04" 101 "no"
"Indian Roller" "Coracias benghalensis" "3" 25.086263 55.163731 "1999-11-22" "11" 326 "no"
"Indian Roller" "Coracias benghalensis" "3" 25.086263 55.163731 "1999-02-22" "02" 53 "no"
"Common Myna" "Acridotheres tristis" "20" 25.185622 55.2467036 "1999-01-07" "01" 7 "no"
"Gray Heron" "Ardea cinerea" "2" 25.185622 55.2467036 "1990-10-12" "10" 285 "no"
"Gray Heron" "Ardea cinerea" "X" 25.1921346 55.3193807 "1999-11-01" "11" 305 "no"
"Eurasian Kestrel" "Falco tinnunculus" "X" 25.2052 55.2965 "1990-09-20" "09" 263 "yes"
"Gray Heron" "Ardea cinerea" "9" 25.205159 55.29646 "1990-07-25" "07" 206 "no"
"Eurasian Marsh-Harrier" "Circus aeruginosus" "1" 25.205159 55.29646 "1999-03-04" "03" 63 "yes"
"White-eyed Buzzard" "Butastur teesa" "1" 25.086263 55.163731 "1998-10-19" "10" 292 "no"
"Gray Heron" "Ardea cinerea" "1" 25.086263 55.163731 "1999-07-14" "07" 195 "no"
"Gray Heron" "Ardea cinerea" "X" 25.086263 55.163731 "1999-11-29" "11" 333 "no"
"Gray Heron" "Ardea cinerea" "1" 25.086263 55.163731 "1999-01-11" "01" 11 "no"
"Great Egret" "Ardea alba" "28" 25.1921346 55.3193807 "1999-01-29" "01" 29 "no"
"Great Egret" "Ardea alba" "X" 25.1921346 55.3193807 "1993-12-18" "12" 352 "no"
"Cattle Egret" "Bubulcus ibis" "2" 25.2087535 55.3001546 "1999-01-17" "01" 17 "no"
"Greater Spotted Eagle" "Clanga clanga" "1" 25.205159 55.29646 "1998-11-24" "11" 328 "yes"
"Indian Roller" "Coracias benghalensis" "2" 25.169707 55.432797 "1999-05-19" "05" 139 "no"
"Little Egret" "Egretta garzetta" "24" 25.086263 55.163731 "1998-09-06" "09" 249 "no"
"Indian Roller" "Coracias benghalensis" "1" 25.086263 55.163731 "1999-03-26" "03" 85 "no"
"Indian Roller" "Coracias benghalensis" "1" 25.086263 55.163731 "1999-12-06" "12" 340 "no"
"Indian Roller" "Coracias benghalensis" "5" 25.086263 55.163731 "1999-10-26" "10" 299 "no"
"Indian Roller" "Coracias benghalensis" "1" 25.086263 55.163731 "1999-05-17" "05" 137 "no"
"Great Gray Shrike" "Lanius excubitor" "1" 25.086263 55.163731 "1998-10-08" "10" 281 "no"
"European Roller" "Coracias garrulus" "2" 25.185622 55.2467036 "1991-04-19" "04" 109 "no"
"Great Gray Shrike" "Lanius excubitor" "3" 25.185622 55.2467036 "1990-12-14" "12" 348 "no"
"Little Egret" "Egretta garzetta" "1" 25.1921346 55.3193807 "1999-10-04" "10" 277 "no"
"Western Reef-Heron" "Egretta gularis" "8" 25.1921346 55.3193807 "1995-07-06" "07" 187 "no"
"Western Reef-Heron" "Egretta gularis" "X" 25.1921346 55.3193807 "1999-11-15" "11" 319 "no"
"Western Reef-Heron" "Egretta gularis" "X" 25.1921346 55.3193807 "1990-07-27" "07" 208 "no"
"Gray Heron" "Ardea cinerea" "1" 25.205159 55.29646 "1990-09-20" "09" 263 "no"
"Bonelli's Eagle" "Aquila fasciata" "1" 25.205159 55.29646 "1999-10-27" "10" 300 "yes"
"Little Egret" "Egretta garzetta" "2" 25.205159 55.29646 "1999-11-01" "11" 305 "no"
"Indian Roller" "Coracias benghalensis" "6" 25.169707 55.432797 "1999-01-09" "01" 9 "no"
"Cattle Egret" "Bubulcus ibis" "12" 25.169707 55.432797 "1999-11-05" "11" 309 "no"
"Gray Heron" "Ardea cinerea" "1" 25.086263 55.163731 "1999-05-31" "05" 151 "no"
"Gray Heron" "Ardea cinerea" "2" 25.086263 55.163731 "1998-01-29" "01" 29 "no"
"Indian Roller" "Coracias benghalensis" "3" 25.086263 55.163731 "1999-11-02" "11" 306 "no"
"Great Gray Shrike" "Lanius excubitor" "1" 25.086263 55.163731 "1998-10-29" "10" 302 "no"
"Great Gray Shrike" "Lanius excubitor" "3" 25.185622 55.2467036 "1990-09-21" "09" 264 "no"
"Gray Heron" "Ardea cinerea" "128" 25.1921346 55.3193807 "1996-01-18" "01" 18 "no"
"Great Egret" "Ardea alba" "X" 25.1921346 55.3193807 "1996-01-04" "01" 4 "no"
"Brown-necked Raven" "Corvus ruficollis" "2" 24.790492 55.182906 "1996-02-29" "02" 60 "no"
"Great Gray Shrike" "Lanius excubitor" "1" 25.0658 55.1673 "1999-09-11" "09" 254 "no"
"Eurasian Sparrowhawk" "Accipiter nisus" "1" 25.148473 55.311131 "1989-12-03" "12" 337 "yes"
"Great Gray Shrike" "Lanius excubitor" "3" 25.218198 55.44909 "1988-11-21" "11" 326 "no"
"Western Reef-Heron" "Egretta gularis" "3" 25.23824 55.326775 "1977-05-03" "05" 123 "no"
"Great Gray Shrike" "Lanius excubitor" "4" 25.086263 55.163731 "1999-11-15" "11" 319 "no"
"Gray Heron" "Ardea cinerea" "1" 25.086263 55.163731 "1998-01-02" "01" 2 "no"
"Purple Heron" "Ardea purpurea" "1" 25.086263 55.163731 "1999-01-28" "01" 28 "no"
"Great Gray Shrike" "Lanius excubitor" "3" 25.086263 55.163731 "1999-10-19" "10" 292 "no"
"Gray Heron" "Ardea cinerea" "2" 25.086263 55.163731 "1999-11-10" "11" 314 "no"
"Imperial Eagle" "Aquila heliaca" "1" 25.1921346 55.3193807 "1999-11-12" "11" 316 "yes"
"Greater Spotted Eagle" "Clanga clanga" "3" 25.1921346 55.3193807 "1996-01-18" "01" 18 "yes"
"Western Reef-Heron" "Egretta gularis" "1" 25.18465 55.24805 "1993-01-07" "01" 7 "no"
"Great Gray Shrike" "Lanius excubitor" "2" 24.804653 56.1241427 "1992-12-04" "12" 339 "no"
"Steppe Eagle" "Aquila nipalensis" "1" 25.205159 55.29646 "1990-09-28" "09" 271 "yes"
"Great Gray Shrike" "Lanius excubitor" "2" 24.824256 55.58769 "1999-06-27" "06" 178 "no"
"Great Gray Shrike" "Lanius excubitor" "1" 25.169707 55.432797 "1999-05-19" "05" 139 "no"
"Common Myna" "Acridotheres tristis" "X" 25.086263 55.163731 "1999-11-01" "11" 305 "no"
"Gray Heron" "Ardea cinerea" "7" 25.086263 55.163731 "1998-10-19" "10" 292 "no"
"Great Gray Shrike" "Lanius excubitor" "1" 25.086263 55.163731 "1998-09-07" "09" 250 "no"
"House Crow" "Corvus splendens" "30" 25.086263 55.163731 "1999-08-30" "08" 242 "no"
"Gray Heron" "Ardea cinerea" "3" 25.086263 55.163731 "1998-09-05" "09" 248 "no"
"Striated Heron" "Butorides striata" "1" 25.086263 55.163731 "1999-09-02" "09" 245 "no"
"Great Gray Shrike" "Lanius excubitor" "1" 25.185622 55.2467036 "1990-03-05" "03" 64 "no"
"Indian Roller" "Coracias benghalensis" "2" 25.185622 55.2467036 "1990-05-23" "05" 143 "no"
"House Crow" "Corvus splendens" "3" 25.185622 55.2467036 "1990-05-14" "05" 134 "no"
"Little Egret" "Egretta garzetta" "5" 25.1921346 55.3193807 "1995-12-08" "12" 342 "no"
"Western Reef-Heron" "Egretta gularis" "50" 25.1921346 55.3193807 "1988-08-14" "08" 227 "no"
"Great Egret" "Ardea alba" "X" 25.1921346 55.3193807 "1990-02-22" "02" 53 "no"
"Striated Heron" "Butorides striata" "2" 24.985556 55.024179 "1988-09-28" "09" 272 "no"
"House Crow" "Corvus splendens" "X" 25.218198 55.44909 "1992-02-22" "02" 53 "no"
"Little Egret" "Egretta garzetta" "3" 25.205159 55.29646 "1995-02-01" "02" 32 "no"
"Little Egret" "Egretta garzetta" "1" 25.205159 55.29646 "1990-04-05" "04" 95 "no"
"Indian Roller" "Coracias benghalensis" "4" 25.086263 55.163731 "1999-11-20" "11" 324 "no"
"Gray Heron" "Ardea cinerea" "4" 25.086263 55.163731 "1999-03-12" "03" 71 "no"
"Indian Roller" "Coracias benghalensis" "3" 25.086263 55.163731 "1999-06-29" "06" 180 "no"
"Great Gray Shrike" "Lanius excubitor" "2" 25.086263 55.163731 "1999-07-07" "07" 188 "no"
"Gray Heron" "Ardea cinerea" "X" 25.086263 55.163731 "1990-10-09" "10" 282 "no"
"Eurasian Kestrel" "Falco tinnunculus" "1" 25.185622 55.2467036 "1998-11-26" "11" 330 "yes"
"Great Egret" "Ardea alba" "8" 25.1921346 55.3193807 "1999-03-01" "03" 60 "no"
"Eurasian Marsh-Harrier" "Circus aeruginosus" "2" 25.1921346 55.3193807 "1999-04-05" "04" 95 "yes"
"Little Egret" "Egretta garzetta" "5" 25.1921346 55.3193807 "1997-04-25" "04" 115 "no"
"Eurasian Marsh-Harrier" "Circus aeruginosus" "15" 25.1921346 55.3193807 "1998-10-30" "10" 303 "yes"
"Little Egret" "Egretta garzetta" "2" 25.1921346 55.3193807 "1999-11-15" "11" 319 "no"
"Brown-necked Raven" "Corvus ruficollis" "77" 24.790492 55.182906 "1998-12-11" "12" 345 "no"
"Eurasian Marsh-Harrier" "Circus aeruginosus" "1" 25.159611 55.41546 "1999-11-20" "11" 324 "yes"
"Eurasian Marsh-Harrier" "Circus aeruginosus" "X" 25.2052 55.2965 "1992-02-10" "02" 41 "yes"
"Steppe Eagle" "Aquila nipalensis" "1" 25.205159 55.29646 "1986-10-19" "10" 292 "yes"
"Great Egret" "Ardea alba" "2" 25.205159 55.29646 "1999-03-08" "03" 67 "no"
"Common Myna" "Acridotheres tristis" "26" 25.205159 55.29646 "1993-04-02" "04" 92 "no"
"Little Egret" "Egretta garzetta" "9" 25.205159 55.29646 "1999-01-20" "01" 20 "no"
"Steppe Eagle" "Aquila nipalensis" "1" 24.954086 55.278118 "1998-04-17" "04" 107 "yes"
"Great Gray Shrike" "Lanius excubitor" "1" 25.169707 55.432797 "1999-07-05" "07" 186 "no"
"European Roller" "Coracias garrulus" "3" 25.169707 55.432797 "1999-09-24" "09" 267 "no"
"Great Egret" "Ardea alba" "3" 25.086263 55.163731 "1996-11-28" "11" 333 "no"
"Great Gray Shrike" "Lanius excubitor" "2" 25.086263 55.163731 "1993-12-18" "12" 352 "no"
"Gray Heron" "Ardea cinerea" "3" 25.086263 55.163731 "1998-12-02" "12" 336 "no"
"Great Egret" "Ardea alba" "15" 25.1921346 55.3193807 "1999-01-23" "01" 23 "no"
"Western Reef-Heron" "Egretta gularis" "400" 25.1921346 55.3193807 "1984-03-05" "03" 65 "no"
"Long-legged Buzzard" "Buteo rufinus" "1" 25.1921346 55.3193807 "1999-10-04" "10" 277 "yes"
"Great Egret" "Ardea alba" "9" 25.1921346 55.3193807 "1990-03-15" "03" 74 "no"
"Common Myna" "Acridotheres tristis" "X" 25.2052 55.2965 "1990-04-05" "04" 95 "no"
"Bank Myna" "Acridotheres ginginianus" "X" 25.2052 55.2965 "1990-03-02" "03" 61 "no"
"Eurasian Marsh-Harrier" "Circus aeruginosus" "1" 25.205159 55.29646 "1998-11-05" "11" 309 "yes"
"Eurasian Kestrel" "Falco tinnunculus" "1" 25.086263 55.163731 "1996-11-28" "11" 333 "yes"
"House Crow" "Corvus splendens" "X" 25.086263 55.163731 "1999-03-26" "03" 85 "no"
"Common Myna" "Acridotheres tristis" "30" 25.086263 55.163731 "1999-09-12" "09" 255 "no"
"White-eyed Buzzard" "Butastur teesa" "1" 25.086263 55.163731 "1999-03-03" "03" 62 "no"
"Purple Heron" "Ardea purpurea" "1" 25.086263 55.163731 "1998-10-17" "10" 290 "no"
"Great Gray Shrike" "Lanius excubitor" "2" 25.086263 55.163731 "1999-03-25" "03" 84 "no"
"House Crow" "Corvus splendens" "3" 25.185622 55.2467036 "1990-03-05" "03" 64 "no"
"Gray Heron" "Ardea cinerea" "X" 25.1921346 55.3193807 "1990-01-01" "01" 1 "no"
"Eurasian Kestrel" "Falco tinnunculus" "4" 25.06287 55.583679 "1999-11-13" "11" 317 "yes"
"Bonelli's Eagle" "Aquila fasciata" "1" 25.205159 55.29646 "1999-11-01" "11" 305 "yes"
"Striated Heron" "Butorides striata" "3" 25.205159 55.29646 "1999-03-12" "03" 71 "no"
"Steppe Eagle" "Aquila nipalensis" "1" 25.205159 55.29646 "1990-04-18" "04" 108 "yes"
"Long-legged Buzzard" "Buteo rufinus" "1" 25.205159 55.29646 "1990-03-02" "03" 61 "yes"
"European Roller" "Coracias garrulus" "3" 25.086263 55.163731 "1998-12-01" "12" 335 "no"
"Eurasian Hobby" "Falco subbuteo" "1" 25.086263 55.163731 "1987-10-01" "10" 274 "yes"
"House Crow" "Corvus splendens" "3" 25.185622 55.2467036 "1990-03-20" "03" 79 "no"
"Western Reef-Heron" "Egretta gularis" "9" 25.1921346 55.3193807 "1998-09-10" "09" 253 "no"
"Great Gray Shrike" "Lanius excubitor" "1" 25.1921346 55.3193807 "1995-07-06" "07" 187 "no"
"Eurasian Marsh-Harrier" "Circus aeruginosus" "8" 25.1921346 55.3193807 "1999-11-15" "11" 319 "yes"
"Common Myna" "Acridotheres tristis" "4" 24.985556 55.024179 "1994-12-09" "12" 343 "no"
"Common Myna" "Acridotheres tristis" "10" 25.218198 55.44909 "1998-10-08" "10" 281 "no"
"Greater Spotted Eagle" "Clanga clanga" "1" 25.205159 55.29646 "1999-01-30" "01" 30 "yes"
"Gray Heron" "Ardea cinerea" "2" 25.086263 55.163731 "1998-10-24" "10" 297 "no"
"Eurasian Marsh-Harrier" "Circus aeruginosus" "1" 25.086263 55.163731 "1998-10-24" "10" 297 "yes"
"Little Egret" "Egretta garzetta" "1" 25.086263 55.163731 "1999-01-28" "01" 28 "no"
"Striated Heron" "Butorides striata" "1" 25.086263 55.163731 "1998-01-29" "01" 29 "no"
"Indian Roller" "Coracias benghalensis" "9" 25.086263 55.163731 "1999-09-06" "09" 249 "no"
"Great Gray Shrike" "Lanius excubitor" "3" 25.086263 55.163731 "1999-11-26" "11" 330 "no"
"Gray Heron" "Ardea cinerea" "2" 25.086263 55.163731 "1999-10-26" "10" 299 "no"
"Indian Roller" "Coracias benghalensis" "1" 25.086263 55.163731 "1995-12-25" "12" 359 "no"
"Cattle Egret" "Bubulcus ibis" "1" 25.185622 55.2467036 "1990-03-10" "03" 69 "no"
"Great Egret" "Ardea alba" "7" 25.1921346 55.3193807 "1999-11-07" "11" 311 "no"
"Eurasian Kestrel" "Falco tinnunculus" "X" 24.804653 56.1241427 "1991-01-01" "01" 1 "yes"
"Great Gray Shrike" "Lanius excubitor" "X" 25.218198 55.44909 "1991-01-03" "01" 3 "no"
"Great Egret" "Ardea alba" "1" 25.205159 55.29646 "1999-04-04" "04" 94 "no"
"Great Egret" "Ardea alba" "1" 25.205159 55.29646 "1990-09-20" "09" 263 "no"
"Gray Heron" "Ardea cinerea" "2" 25.205159 55.29646 "1999-12-17" "12" 351 "no"
"Shikra" "Accipiter badius" "1" 25.205159 55.29646 "1997-03-18" "03" 77 "yes"
"Great Gray Shrike" "Lanius excubitor" "1" 25.205159 55.29646 "1995-12-26" "12" 360 "no"
"Western Reef-Heron" "Egretta gularis" "X" 25.205159 55.29646 "1995-12-26" "12" 360 "no"
"Great Gray Shrike" "Lanius excubitor" "1" 25.169707 55.432797 "1999-10-26" "10" 299 "no"
"Eurasian Kestrel" "Falco tinnunculus" "4" 25.169707 55.432797 "1999-09-24" "09" 267 "yes"
"Gray Heron" "Ardea cinerea" "1" 25.086263 55.163731 "1999-09-02" "09" 245 "no"
"Great Gray Shrike" "Lanius excubitor" "1" 25.185622 55.2467036 "1989-07-02" "07" 183 "no"
"Striated Heron" "Butorides striata" "1" 25.185622 55.2467036 "1999-11-10" "11" 314 "no"
"House Crow" "Corvus splendens" "X" 25.185622 55.2467036 "1991-03-15" "03" 74 "no"
"Eurasian Marsh-Harrier" "Circus aeruginosus" "2" 25.1921346 55.3193807 "1999-11-01" "11" 305 "yes"
"Great Egret" "Ardea alba" "5" 25.1921346 55.3193807 "1993-04-02" "04" 92 "no"
"Great Egret" "Ardea alba" "1" 25.18465 55.24805 "1993-01-07" "01" 7 "no"
"Great Gray Shrike" "Lanius excubitor" "X" 24.804653 56.1241427 "1994-02-18" "02" 49 "no"
"Little Egret" "Egretta garzetta" "1" 25.2052 55.2965 "1990-08-15" "08" 227 "no"
"Common Myna" "Acridotheres tristis" "X" 24.985556 55.024179 "1999-01-25" "01" 25 "no"
"Great Gray Shrike" "Lanius excubitor" "2" 25.205159 55.29646 "1998-11-07" "11" 311 "no"
"Greater Spotted Eagle" "Clanga clanga" "1" 25.205159 55.29646 "1999-02-10" "02" 41 "yes"
"Western Reef-Heron" "Egretta gularis" "8" 25.205159 55.29646 "1996-01-18" "01" 18 "no"
"Lanner Falcon" "Falco biarmicus" "1" 24.7069 55.6249 "1993-10-28" "10" 301 "yes"
"Eurasian Marsh-Harrier" "Circus aeruginosus" "1" 25.169707 55.432797 "1999-10-11" "10" 284 "yes"
"Western Reef-Heron" "Egretta gularis" "1" 25.086263 55.163731 "1999-09-30" "09" 273 "no"
"Indian Roller" "Coracias benghalensis" "1" 25.086263 55.163731 "1999-03-22" "03" 81 "no"
"Striated Heron" "Butorides striata" "1" 25.086263 55.163731 "1998-10-12" "10" 285 "no"
"Western Reef-Heron" "Egretta gularis" "X" 25.1921346 55.3193807 "1990-01-01" "01" 1 "no"
"Eurasian Marsh-Harrier" "Circus aeruginosus" "4" 25.1921346 55.3193807 "1998-11-17" "11" 321 "yes"
"Cattle Egret" "Bubulcus ibis" "1" 25.18465 55.24805 "1993-01-07" "01" 7 "no"
"Bonelli's Eagle" "Aquila fasciata" "X" 25.2052 55.2965 "1990-03-02" "03" 61 "yes"
"Cattle Egret" "Bubulcus ibis" "1" 25.205159 55.29646 "1993-04-02" "04" 92 "no"
"Common Myna" "Acridotheres tristis" "21" 25.169707 55.432797 "1999-10-11" "10" 284 "no"
"Montagu's Harrier" "Circus pygargus" "2" 25.169707 55.432797 "1999-10-22" "10" 295 "yes"
"Indian Roller" "Coracias benghalensis" "1" 25.086263 55.163731 "1999-11-25" "11" 329 "no"
"European Roller" "Coracias garrulus" "1" 25.086263 55.163731 "1999-08-31" "08" 243 "no"
"Gray Heron" "Ardea cinerea" "4" 25.086263 55.163731 "1999-03-08" "03" 67 "no"
"Common Myna" "Acridotheres tristis" "X" 25.086263 55.163731 "1998-09-15" "09" 258 "no"
"Indian Roller" "Coracias benghalensis" "4" 25.086263 55.163731 "1999-06-26" "06" 177 "no"
"Great Gray Shrike" "Lanius excubitor" "2" 25.086263 55.163731 "1999-11-10" "11" 314 "no"
"White-eyed Buzzard" "Butastur teesa" "1" 25.086263 55.163731 "1998-10-14" "10" 287 "no"
"Gray Heron" "Ardea cinerea" "2" 25.086263 55.163731 "1995-12-25" "12" 359 "no"
"Common Myna" "Acridotheres tristis" "X" 25.185622 55.2467036 "1998-12-03" "12" 337 "no"
"Eurasian Sparrowhawk" "Accipiter nisus" "1" 25.185622 55.2467036 "1999-11-10" "11" 314 "yes"
"Gray Heron" "Ardea cinerea" "200" 25.1921346 55.3193807 "1985-02-06" "02" 37 "no"
"Eurasian Kestrel" "Falco tinnunculus" "1" 24.790492 55.182906 "1995-11-24" "11" 328 "yes"
"Gray Heron" "Ardea cinerea" "X" 24.804653 56.1241427 "1991-01-01" "01" 1 "no"
"Common Myna" "Acridotheres tristis" "10" 25.218198 55.44909 "1999-03-19" "03" 78 "no"
"Great Gray Shrike" "Lanius excubitor" "1" 25.218198 55.44909 "1999-03-19" "03" 78 "no"
"Little Egret" "Egretta garzetta" "2" 25.205159 55.29646 "1999-07-11" "07" 192 "no"
"Eurasian Marsh-Harrier" "Circus aeruginosus" "1" 25.205159 55.29646 "1999-11-27" "11" 331 "yes"
"Eurasian Kestrel" "Falco tinnunculus" "8" 25.169707 55.432797 "1999-10-22" "10" 295 "yes"
"Gray Heron" "Ardea cinerea" "2" 25.086263 55.163731 "1999-10-28" "10" 301 "no"
"Great Gray Shrike" "Lanius excubitor" "2" 25.086263 55.163731 "1999-09-23" "09" 266 "no"
"Great Gray Shrike" "Lanius excubitor" "2" 25.086263 55.163731 "1998-10-19" "10" 292 "no"
"White-eyed Buzzard" "Butastur teesa" "1" 25.086263 55.163731 "1999-03-22" "03" 81 "no"
"Indian Roller" "Coracias benghalensis" "4" 25.086263 55.163731 "1999-09-25" "09" 268 "no"
"Common Myna" "Acridotheres tristis" "300" 25.086263 55.163731 "1998-10-12" "10" 285 "no"
"Great Gray Shrike" "Lanius excubitor" "1" 25.185622 55.2467036 "1989-07-28" "07" 209 "no"
"Greater Spotted Eagle" "Clanga clanga" "4" 25.1921346 55.3193807 "1999-02-10" "02" 41 "yes"
"Greater Spotted Eagle" "Clanga clanga" "2" 25.1921346 55.3193807 "1999-12-03" "12" 337 "yes"
"Eurasian Marsh-Harrier" "Circus aeruginosus" "3" 25.1921346 55.3193807 "1999-03-08" "03" 67 "yes"
"Great Gray Shrike" "Lanius excubitor" "2" 24.790492 55.182906 "1998-12-11" "12" 345 "no"
"Gray Heron" "Ardea cinerea" "10" 25.2052 55.2965 "1990-08-15" "08" 227 "no"
"Cattle Egret" "Bubulcus ibis" "1" 25.2052 55.2965 "1990-12-06" "12" 340 "no"
"Western Reef-Heron" "Egretta gularis" "4" 25.205159 55.29646 "1990-07-25" "07" 206 "no"
"Gray Heron" "Ardea cinerea" "15" 25.205159 55.29646 "1995-02-01" "02" 32 "no"
"Indian Roller" "Coracias benghalensis" "1" 25.086263 55.163731 "1998-10-24" "10" 297 "no"
"Indian Roller" "Coracias benghalensis" "5" 25.086263 55.163731 "1998-11-01" "11" 305 "no"
"Striated Heron" "Butorides striata" "1" 25.086263 55.163731 "1999-10-19" "10" 292 "no"
"Pallid/Montagu's Harrier" "Circus macrourus/pygargus" "1" 25.086263 55.163731 "1999-10-23" "10" 296 "yes"
"Indian Roller" "Coracias benghalensis" "1" 25.086263 55.163731 "1998-11-18" "11" 322 "no"
"Indian Roller" "Coracias benghalensis" "1" 25.185622 55.2467036 "1990-03-15" "03" 74 "no"
"Great Gray Shrike" "Lanius excubitor" "1" 25.185622 55.2467036 "1990-05-10" "05" 130 "no"
"Cattle Egret" "Bubulcus ibis" "6" 25.185622 55.2467036 "1991-03-08" "03" 67 "no"
"Little Egret" "Egretta garzetta" "4" 24.813432 56.142749 "1999-02-19" "02" 50 "no"
"Great Gray Shrike" "Lanius excubitor" "1" 25.159611 55.41546 "1999-01-28" "01" 28 "no"
"Little Egret" "Egretta garzetta" "1" 25.0827015 55.3930115 "1999-09-10" "09" 253 "no"
"Western Reef-Heron" "Egretta gularis" "X" 25.2052 55.2965 "1990-09-20" "09" 263 "no"
"Great Egret" "Ardea alba" "3" 25.2052 55.2965 "1990-09-06" "09" 249 "no"
"Great Gray Shrike" "Lanius excubitor" "4" 25.172219 55.550809 "1989-05-23" "05" 143 "no"
"Indian Roller" "Coracias benghalensis" "4" 25.169707 55.432797 "1999-10-11" "10" 284 "no"
"Pallid Harrier" "Circus macrourus" "1" 25.086263 55.163731 "1998-11-19" "11" 323 "yes"
"Purple Heron" "Ardea purpurea" "1" 25.086263 55.163731 "1999-06-13" "06" 164 "no"
"Great Gray Shrike" "Lanius excubitor" "2" 25.086263 55.163731 "1993-12-03" "12" 337 "no"
"Great Gray Shrike" "Lanius excubitor" "1" 25.086263 55.163731 "1998-09-11" "09" 254 "no"
"Cattle Egret" "Bubulcus ibis" "2" 25.185622 55.2467036 "1997-02-14" "02" 45 "no"
"Common Myna" "Acridotheres tristis" "10" 25.185622 55.2467036 "1991-04-19" "04" 109 "no"
"Purple Heron" "Ardea purpurea" "1" 25.185622 55.2467036 "1999-01-07" "01" 7 "no"
"European Roller" "Coracias garrulus" "1" 25.185622 55.2467036 "1990-03-25" "03" 84 "no"
"Great Egret" "Ardea alba" "1" 25.185622 55.2467036 "1990-12-14" "12" 348 "no"
"Short-eared Owl" "Asio flammeus" "1" 25.1921346 55.3193807 "1998-10-25" "10" 298 "yes"
"Eurasian Kestrel" "Falco tinnunculus" "1" 25.2052 55.2965 "1990-10-24" "10" 297 "yes"
"Striated Heron" "Butorides striata" "X" 24.985556 55.024179 "1998-12-29" "12" 363 "no"
"Purple Heron" "Ardea purpurea" "1" 25.205159 55.29646 "1998-09-10" "09" 253 "no"
"Gray Heron" "Ardea cinerea" "1" 25.205159 55.29646 "1990-09-13" "09" 256 "no"
"Great Gray Shrike" "Lanius excubitor" "2" 25.086263 55.163731 "1998-12-01" "12" 335 "no"
"Great Gray Shrike" "Lanius excubitor" "1" 25.086263 55.163731 "1998-11-06" "11" 310 "no"
"Great Gray Shrike" "Lanius excubitor" "1" 25.086263 55.163731 "1999-12-09" "12" 343 "no"
"Common Myna" "Acridotheres tristis" "X" 25.185622 55.2467036 "1991-01-04" "01" 4 "no"
"Little Bittern" "Ixobrychus minutus" "1" 25.185622 55.2467036 "1990-06-08" "06" 159 "no"
"Imperial Eagle" "Aquila heliaca" "1" 25.1921346 55.3193807 "1996-11-15" "11" 320 "yes"
"Gray Heron" "Ardea cinerea" "67" 25.205159 55.29646 "1989-09-22" "09" 265 "no"
"Great Gray Shrike" "Lanius excubitor" "1" 25.205159 55.29646 "1998-11-24" "11" 328 "no"
"Western Reef-Heron" "Egretta gularis" "1" 25.169707 55.432797 "1999-10-11" "10" 284 "no"
"Gray Heron" "Ardea cinerea" "2" 25.086263 55.163731 "1999-03-26" "03" 85 "no"
"Little Egret" "Egretta garzetta" "1" 25.086263 55.163731 "1999-01-20" "01" 20 "no"
"Western Reef-Heron" "Egretta gularis" "1" 25.086263 55.163731 "1999-08-29" "08" 241 "no"
