"COMMON.NAME" "SCIENTIFIC.NAME" "OBSERVATION.COUNT" "LATITUDE" "LONGITUDE" "DATE" "MONTH" "DAY" "MIGRANT"
"Common Myna" "Acridotheres tristis" "2" 25.0005996 55.0530018 "1999-05-27" "05" 147 "no"
"Long-legged Buzzard" "Buteo rufinus" "1" 25.205159 55.29646 "1991-01-08" "01" 8 "yes"
"Great Egret" "Ardea alba" "2" 25.205159 55.29646 "1999-11-01" "11" 305 "no"
"Indian Roller" "Coracias benghalensis" "2" 25.169707 55.432797 "1999-11-20" "11" 324 "no"
"Great Gray Shrike" "Lanius excubitor" "3" 25.086263 55.163731 "1999-12-26" "12" 360 "no"
"Gray Heron" "Ardea cinerea" "2" 25.086263 55.163731 "1999-03-22" "03" 81 "no"
"White-eyed Buzzard" "Butastur teesa" "1" 25.086263 55.163731 "1998-09-22" "09" 265 "no"
"Great Gray Shrike" "Lanius excubitor" "2" 25.086263 55.163731 "1994-11-04" "11" 308 "no"
"Little Egret" "Egretta garzetta" "2" 25.086263 55.163731 "1998-10-12" "10" 285 "no"
"Western Reef-Heron" "Egretta gularis" "37" 25.1921346 55.3193807 "1988-09-11" "09" 255 "no"
"Western Reef-Heron" "Egretta gularis" "28" 25.1921346 55.3193807 "1997-04-25" "04" 115 "no"
"Western Reef-Heron" "Egretta gularis" "10" 25.1921346 55.3193807 "1999-03-26" "03" 85 "no"
"Eurasian Kestrel" "Falco tinnunculus" "1" 24.985556 55.024179 "1996-01-24" "01" 24 "yes"
"Gray Heron" "Ardea cinerea" "1" 25.205159 55.29646 "1998-03-19" "03" 78 "no"
"Eurasian Marsh-Harrier" "Circus aeruginosus" "1" 25.205159 55.29646 "1999-03-08" "03" 67 "yes"
"Common Myna" "Acridotheres tristis" "X" 25.205159 55.29646 "1999-06-16" "06" 167 "no"
"Great Gray Shrike" "Lanius excubitor" "6" 25.086263 55.163731 "1999-09-02" "09" 245 "no"
"Cattle Egret" "Bubulcus ibis" "1" 25.185622 55.2467036 "1991-01-04" "01" 4 "no"
"Common Myna" "Acridotheres tristis" "5" 25.185622 55.2467036 "1990-03-17" "03" 76 "no"
"Common Myna" "Acridotheres tristis" "1" 25.185622 55.2467036 "1990-05-08" "05" 128 "no"
"Greater Spotted Eagle" "Clanga clanga" "2" 25.1921346 55.3193807 "1999-01-29" "01" 29 "yes"
"Peregrine Falcon" "Falco peregrinus" "1" 25.1921346 55.3193807 "1987-02-22" "02" 53 "yes"
"Great Gray Shrike" "Lanius excubitor" "3" 25.035517 55.116478 "1999-12-28" "12" 362 "no"
"Indian Roller" "Coracias benghalensis" "2" 24.985556 55.024179 "1999-09-07" "09" 250 "no"
"Great Gray Shrike" "Lanius excubitor" "6" 25.218198 55.44909 "1985-09-20" "09" 263 "no"
"Imperial Eagle" "Aquila heliaca" "1" 25.205159 55.29646 "1988-09-22" "09" 266 "yes"
"Eurasian Sparrowhawk" "Accipiter nisus" "1" 25.205159 55.29646 "1999-11-26" "11" 330 "yes"
"Purple Heron" "Ardea purpurea" "1" 25.205159 55.29646 "1993-03-13" "03" 72 "no"
"Eurasian Marsh-Harrier" "Circus aeruginosus" "3" 25.205159 55.29646 "1999-03-12" "03" 71 "yes"
"Great Egret" "Ardea alba" "7" 25.086263 55.163731 "1999-11-07" "11" 311 "no"
"White-eyed Buzzard" "Butastur teesa" "1" 25.086263 55.163731 "1998-10-17" "10" 290 "no"
"Striated Heron" "Butorides striata" "1" 25.086263 55.163731 "1999-09-28" "09" 271 "no"
"House Crow" "Corvus splendens" "X" 25.086263 55.163731 "1998-11-14" "11" 318 "no"
"Pallid Harrier" "Circus macrourus" "1" 25.086263 55.163731 "1998-12-06" "12" 340 "yes"
"Great Gray Shrike" "Lanius excubitor" "2" 25.086263 55.163731 "1998-12-06" "12" 340 "no"
"Indian Roller" "Coracias benghalensis" "4" 25.086263 55.163731 "1998-12-06" "12" 340 "no"
"Striated Heron" "Butorides striata" "1" 25.086263 55.163731 "1999-11-13" "11" 317 "no"
"Indian Roller" "Coracias benghalensis" "1" 25.086263 55.163731 "1999-07-07" "07" 188 "no"
"Common Myna" "Acridotheres tristis" "1" 25.185622 55.2467036 "1990-05-17" "05" 137 "no"
"Gray Heron" "Ardea cinerea" "2" 25.185622 55.2467036 "1997-02-14" "02" 45 "no"
"Indian Roller" "Coracias benghalensis" "2" 25.185622 55.2467036 "1998-11-26" "11" 330 "no"
"Indian Roller" "Coracias benghalensis" "8" 25.185622 55.2467036 "1999-01-07" "01" 7 "no"
"Great Gray Shrike" "Lanius excubitor" "2" 25.185622 55.2467036 "1999-01-07" "01" 7 "no"
"Common Myna" "Acridotheres tristis" "X" 25.185622 55.2467036 "1991-04-19" "04" 109 "no"
"Little Egret" "Egretta garzetta" "1" 25.1921346 55.3193807 "1999-11-29" "11" 333 "no"
"Western Reef-Heron" "Egretta gularis" "36" 25.1921346 55.3193807 "1996-11-28" "11" 333 "no"
"Greater Spotted Eagle" "Clanga clanga" "2" 25.1921346 55.3193807 "1999-12-08" "12" 342 "yes"
"Great Gray Shrike" "Lanius excubitor" "3" 25.1921346 55.3193807 "1998-12-06" "12" 340 "no"
"Little Egret" "Egretta garzetta" "5" 24.813432 56.142749 "1998-10-28" "10" 301 "no"
"Gray Heron" "Ardea cinerea" "5" 25.2052 55.2965 "1990-09-06" "09" 249 "no"
