"nest";"year";"first_egg";"start_expo";"last_ok";"last_control";"end_expo";"fate";"logger_fate";"end_type";"temperature";"lat";"lon"
"1_2018";"2018";2018-02-12 14:45:00;2018-03-14 14:45:00;2018-03-14 14:45:00;2018-03-14 14:45:00;2018-03-14 14:45:00;1;"no";"hde";NA;24.8339003321506;55.3703266076681
"1_2019";"2019";2019-01-23 10:51:00;2019-01-31 12:03:00;2019-02-06 13:30:00;2019-02-25 11:23:00;2019-02-22 10:51:00;1;"no";"hde";NA;24.8339349869639;55.3703449945897
"1_2020";"2020";2020-01-17 08:58:12;2020-02-03 11:15:00;2020-02-03 11:15:00;2020-02-27 07:50:00;2020-02-16 08:58:12;1;"no";"hde";NA;24.8363420180976;55.3725640196353
"10_2018";"2018";2018-03-01 18:42:48;2018-03-14 12:00:00;2018-03-29 07:00:00;2018-04-05 09:20:00;2018-03-31 18:42:48;1;"no";"hde";NA;24.841541793016;55.3280197976205
"10_2019";"2019";2019-02-15 03:12:24;2019-02-19 16:10:00;2019-03-08 08:51:44;2019-03-02 10:47:00;2019-03-08 08:51:44;0;"yes";"logger";22.791;24.8406032937705;55.3422656995918
"10_2020";"2020";2020-03-01 10:35:00;2020-03-01 10:35:00;2020-04-04 08:00:00;2020-04-20 13:15:00;2020-04-03 08:00:00;1;"no";"logger";NA;24.8401759844273;55.352709973231
"100_2018";"2018";2018-04-11 20:21:36;2018-04-24 18:12:00;2018-04-24 18:12:00;2018-05-20 12:18:00;2018-05-11 20:21:36;1;"no";"hde";NA;24.8342185843835;55.3962527673702
"100_2019";"2019";2019-04-17 02:15:24;2019-04-21 15:13:00;2019-05-22 08:30:00;2019-05-23 09:25:00;2019-05-21 20:30:00;1;"no";"logger";NA;24.8365855524212;55.3717820131569
"100_2020";"2020";2020-04-29 14:33:36;2020-05-12 12:24:00;2020-05-15 17:30:00;2020-05-19 12:50:00;2020-05-17 12:50:00;1;"no";"visit";NA;24.8397480044514;55.3430879674852
"101_2018";"2018";2018-04-20 05:30:24;2018-04-24 18:28:00;2018-04-24 18:28:00;2018-05-06 13:05:00;2018-04-30 15:46:30;0;"no";"half_rule";NA;24.8350997632417;55.394348339964
"101_2019";"2019";2019-04-17 17:02:00;2019-04-21 17:02:00;2019-05-20 20:00:00;2019-05-21 13:20:00;2019-05-19 20:00:00;1;"no";"logger";NA;24.8365300241858;55.3778850194067
"101_2020";"2020";2020-04-29 15:59:36;2020-05-12 13:50:00;2020-06-06 10:00:00;2020-06-17 08:48:00;2020-06-05 10:00:00;1;"no";"logger";NA;24.8338390141726;55.3704960364848
"102_2018";"2018";2018-04-19 16:50:48;2018-04-24 18:46:00;2018-04-24 18:46:00;2018-05-06 13:15:00;2018-04-30 16:00:30;0;"no";"half_rule";NA;24.837664827523;55.3835297895644
"102_2019";"2019";2019-04-11 12:07:36;2019-04-24 09:58:00;2019-05-15 09:30:00;2019-05-15 09:30:00;2019-05-14 21:30:00;1;"no";"logger";NA;24.8400402522734;55.3493124963082
"102_2020";"2020";2020-05-08 14:40:00;2020-05-12 14:40:00;2020-06-10 16:30:00;2020-06-25 12:00:00;2020-06-09 16:30:00;1;"no";"logger";NA;24.8335729725659;55.3720139991492
"103_2018";"2018";2018-04-07 08:07:12;2018-04-26 11:00:00;2018-04-26 11:00:00;2018-04-30 10:30:00;2018-04-28 10:45:00;0;"no";"half_rule";NA;24.8433838000569;55.3523918574724
"103_2019";"2019";2019-04-19 22:57:24;2019-04-24 11:55:00;2019-05-21 15:00:00;2019-05-21 15:08:00;2019-05-20 15:00:00;1;"no";"logger";NA;24.833518092917;55.3744307410053
"103_2020";"2020";2020-04-28 22:46:00;2020-05-14 10:10:00;2020-05-14 10:10:00;2020-05-21 09:58:00;2020-05-20 09:58:00;1;"no";"hde";NA;24.8341700155288;55.3980510402471
"104_2018";"2018";2018-04-25 13:17:00;2018-04-29 13:17:00;2018-04-29 13:17:00;2018-04-29 13:17:00;2018-04-29 13:17:00;5;"no";"visit";NA;24.8382948113654;55.3545237945441
"104_2019";"2019";2019-04-20 12:27:00;2019-04-24 12:27:00;2019-05-10 08:00:00;2019-06-02 11:33:00;2019-05-20 12:27:00;1;"no";"hde";NA;24.8342593963748;55.3778342969437
"104_2020";"2020";2020-04-30 10:54:24;2020-05-14 10:40:00;2020-05-14 10:40:00;2020-06-11 12:20:00;2020-05-30 10:54:24;1;"no";"hde";NA;24.8373610060662;55.3926270268857
"105_2018";"2018";2018-04-25 14:37:00;2018-04-29 14:37:00;2018-05-27 18:00:00;2018-05-28 08:55:00;2018-05-26 18:00:00;1;"no";"logger";NA;24.8416838662747;55.3542748520199
"105_2019";"2019";2019-04-19 11:10:36;2019-04-29 16:13:00;2019-05-22 17:30:00;2019-05-23 13:16:00;2019-05-20 19:00:00;1;"no";"logger";NA;24.8404860310257;55.3276080172509
"105_2020";"2020";2020-05-14 09:50:48;2020-05-14 13:02:00;2020-06-22 09:26:00;2020-06-22 09:20:00;2020-06-21 21:26:00;1;"no";"logger";NA;24.8405069857836;55.3423999808729
"106_2018";"2018";2018-04-11 08:37:12;2018-04-30 11:30:00;2018-04-30 11:30:00;2018-05-24 12:44:00;2018-05-11 08:37:12;1;"no";"hde";NA;24.8410305844155;55.3675037732391
"106_2019";"2019";2019-04-27 16:23:42;2019-04-29 17:37:00;2019-05-07 11:57:00;2019-05-13 11:07:00;2019-05-07 11:57:00;2;"no";"visit";NA;24.8413109779358;55.338562997058
"106_2020";"2020";NA;2020-05-17 10:30:00;2020-05-17 10:30:00;2020-05-24 11:05:00;2020-05-18 10:30:00;0;"no";"last_ok+1";NA;24.8431860096753;55.3350900392979
"107_2018";"2018";2018-04-30 12:49:00;2018-04-30 12:49:00;2018-05-16 11:43:00;2018-05-22 10:53:00;2018-05-19 11:18:00;0;"no";"half_rule";NA;24.837483677446;55.3894245026293
"107_2019";"2019";2019-04-17 21:00:48;2019-04-30 09:08:00;2019-05-08 07:39:00;2019-05-08 07:37:00;2019-05-08 07:39:00;5;"no";"logger";NA;24.8444199934602;55.3649049717933
"107_2020";"2020";2020-05-15 12:35:00;2020-05-17 11:15:00;2020-06-18 06:58:00;2020-06-22 10:40:00;2020-06-17 06:58:00;1;"no";"logger";NA;24.8373579885811;55.3926240094006
"108_2018";"2018";2018-04-25 01:23:36;2018-04-30 13:02:00;2018-04-30 13:02:00;2018-05-10 12:40:00;2018-05-05 12:51:00;0;"no";"half_rule";NA;24.8371610856132;55.3904988314961
"108_2019";"2019";2019-04-18 21:30:36;2019-04-30 10:57:00;2019-05-06 13:21:00;2019-05-26 14:05:00;2019-05-18 21:30:36;1;"no";"hde";NA;24.8365140147507;55.3707589767873
"108_2020";"2020";2020-04-26 12:45:36;2020-05-17 13:00:00;2020-06-14 11:20:00;2020-06-14 11:20:00;2020-06-14 11:20:00;5;"no";"visit";NA;24.8356309812516;55.3754250146449
"109_2018";"2018";2018-04-25 13:04:48;2018-04-30 15:00:00;2018-05-24 11:01:00;2018-05-31 12:10:00;2018-05-22 22:30:00;1;"no";"logger";NA;24.8406140226871;55.3423090372235
"109_2019";"2019";2019-04-26 14:34:00;2019-04-30 14:34:00;2019-05-07 07:11:43;2019-05-08 13:24:00;2019-05-07 07:11:43;0;"yes";"logger";25.6;24.8372790310532;55.3907980117947
"109_2020";"2020";2020-05-02 01:48:00;2020-05-17 13:12:00;2020-05-17 13:12:00;2020-05-17 13:12:00;2020-05-17 13:12:00;5;"no";"visit";NA;24.83314499259;55.3749709669501
"11_2018";"2018";2018-03-10 21:06:36;2018-03-16 08:45:00;2018-03-29 16:00:00;2018-04-12 10:10:00;2018-04-10 10:10:00;1;"no";"visit";NA;24.840219989419;55.3335089609027
"11_2019";"2019";2019-01-26 11:55:00;2019-02-25 11:55:00;2019-02-25 11:55:00;2019-02-25 11:55:00;2019-02-25 11:55:00;1;"no";"visit";NA;24.8334989030207;55.3744280796178
"11_2020";"2020";2020-02-25 23:35:24;2020-03-01 12:33:00;2020-03-21 19:00:00;2020-04-02 15:45:00;2020-03-26 23:35:24;1;"no";"hde";NA;24.8401560354978;55.3559530153871
"110_2018";"2018";2018-04-12 12:52:12;2018-05-08 09:45:00;2018-05-08 09:45:00;2018-05-16 10:00:00;2018-05-12 12:52:12;1;"no";"hde";NA;24.8399316280264;55.3555925298765
"110_2019";"2019";2019-04-20 01:53:36;2019-05-01 15:20:00;2019-05-24 16:30:00;2019-05-26 14:41:00;2019-05-23 16:30:00;1;"no";"logger";NA;24.8370024713071;55.3759383981673
"110_2020";"2020";NA;2020-05-17 14:30:00;2020-05-17 14:30:00;2020-05-21 12:25:00;2020-05-18 14:30:00;1;"no";"hde";NA;24.8427669983357;55.3666879702359
"111_2018";"2018";2018-04-19 08:22:12;2018-05-08 11:15:00;2018-05-18 07:00:00;2018-05-24 13:00:00;2018-05-15 23:00:00;1;"no";"logger";NA;24.8370088032913;55.375380706321
"111_2019";"2019";2019-04-26 04:33:36;2019-05-01 16:12:00;2019-05-28 19:20:00;2019-06-02 12:23:00;2019-05-29 19:20:00;1;"no";"hde";NA;24.8363660206523;55.3756500430368
